STD Integrated Profile, STD DM-SNR Curve, Pulsar
55.68378214,19.11042633,0
41.57220208,61.71901588,1
37.33065932,12.01691346,0
45.9319193,14.71602871,0
48.91716569,18.3133067,0
47.34586165,18.94498977,0
45.54990543,13.07903424,1
28.66604164,62.07021971,1
51.93727202,52.77264803,0
48.81156969,17.37868175,0
29.94865398,82.39462399,1
35.77982308,29.76039993,1
46.45474042,77.75535652,0
53.34878418,10.57083301,0
45.47508547,65.09419657,1
45.72573893,39.11645317,0
39.5898212,16.62645319,0
30.2377138,62.57739528,1
44.57874592,25.57445006,0
29.29766978,66.32182537,1